Concepticon_Gloss.xo,Concepticon_Gloss.yo,frequency,vision,assoc,taxonomy
ADDRESS,CLEAR,0,0.5157601237297058,0.0237143015396306,0.5714285714285714
ADDRESS,HEADBAND OR HEADDRESS,0,0.3605913519859314,0.00310002655850712,0.4
ADDRESS,HEADGEAR,0,0.3306592106819153,0.00951017721706108,0.4
ADDRESS,HOOK,0,0.5401222705841064,0.0124213727424752,0.14285714285714285
ADDRESS,HOUSE,1,0.4222240746021271,0.261300833562727,0.4
ADDRESS,HUT,1,0.33216577768325806,0.0838989113256696,0.4
ADDRESS,POCKET,0,0.4851168394088745,0.0278436935616735,0.35294117647058826
ADDRESS,ROOT,0,0.4878621995449066,0.0039814087304745,0.4
ADJUDICATE,CALF,0,0.5503098964691162,0.0078545703409861,0.14285714285714285
ADJUDICATE,CLOTHES,0,0.7395806312561035,0.00815879359283087,0.16666666666666666
ADJUDICATE,JUMP,0,0.5560306310653687,0.0249231992702065,0.16666666666666666
ADJUDICATE,NECKLACE,0,0.3269575238227844,0.00680960804684736,0.15384615384615383
ADJUDICATE,PAIR,0,0.6049344539642334,0.0108468281487824,0.2
ADJUDICATE,PATH,0,0.30836835503578186,0.0209575007413276,0.18181818181818185
ADJUDICATE,SOLDIER,0,0.8016666173934937,0.0317290120243531,0.14285714285714285
ADJUDICATE,SPRING OR WELL,0,0.46885037422180176,0.00268630849061939,0.18181818181818185
ADJUDICATE,TIE,0,0.40999606251716614,0.0319076687285137,0.25
ADJUDICATE,TIP (OF OBJECT),0,0.42330288887023926,0.0247827162927234,0.16666666666666666
AIR,ARM,0,0.4291060864925385,0.032305042883154,0.26666666666666666
AIR,AXLE,0,0.3526923954486847,0.0378154412448367,0.25
AIR,BALL,0,0.38492369651794434,0.0433283262994903,0.26666666666666666
AIR,BIRD,0,0.44780296087265015,0.11168427631362,0.25
AIR,BITE,0,0.4780177474021912,0.016669772587929,0.1176470588235294
AIR,BLOOD,0,0.45154550671577454,0.0397897002853429,0.4615384615384616
AIR,BOOK,0,0.3976859748363495,0.0131157473590663,0.25
AIR,BREAK (DESTROY OR GET DESTROYED),0,0.6369261145591736,0.0201346081439485,0.2
AIR,BREAST,0,0.41933807730674744,0.0274094087615161,0.3076923076923077
AIR,BRIGHT,1,0.7374653816223145,0.0626963996502898,0.2222222222222222
AIR,BUTTON,0,0.29739436507225037,0.020162843368413,0.25
AIR,CANOE,0,0.42158177495002747,0.0393748947765408,0.21052631578947367
AIR,CEASE,0,0.5272201895713806,0.0105940936474704,0.2222222222222222
AIR,CHEESE,0,0.5120891332626343,0.026576645173504,0.5
AIR,CHIN,0,0.31578636169433594,0.0103254046183339,0.3076923076923077
AIR,CLOUD,1,0.7783708572387695,0.258986440646998,0.3076923076923077
AIR,COFFEE,0,0.34078341722488403,0.035154491493426,0.4615384615384616
AIR,COOKHOUSE,0,0.5485822558403015,0.0218347179246937,0.26666666666666666
AIR,DAY (NOT NIGHT),1,0.8739485144615173,0.0274781687956767,0.16666666666666666
AIR,DONKEY,0,0.3609050214290619,0.0151231201054185,0.17391304347826086
AIR,EAGLE,1,0.4436613321304322,0.0627717696326088,0.2
AIR,EDGE,1,0.6247522234916687,0.010240679728609,0.2857142857142857
AIR,END (OF SPACE),0,0.5272201895713806,0.0105940936474704,0.3076923076923077
AIR,FAMILY,0,0.6034733057022095,0.0191800205667376,0.15384615384615383
AIR,FAN (OBJECT),1,0.5209307670593262,0.102381828065331,0.2857142857142857
AIR,FATHER,2,0.48886480927467346,0.0195344379343679,0.25
AIR,FEATHER,0,0.4166489839553833,0.12289122403909,0.4615384615384616
AIR,FENCE,1,0.6318799257278442,0.0117528620056896,0.26666666666666666
AIR,FOAM,0,0.6041455864906311,0.101036780966447,0.125
AIR,FOG,1,0.8851326107978821,0.172276350180343,0.26666666666666666
AIR,FOOT,0,0.33617693185806274,0.0166503575725103,0.26666666666666666
AIR,GOAT,0,0.3714788556098938,0.0102368231422412,0.18181818181818185
AIR,GRAIN,0,0.41718077659606934,0.0107982834415916,0.4615384615384616
AIR,GRASS,0,0.7064938545227051,0.0608802664967879,0.2352941176470588
AIR,GUARD,0,0.5078355073928833,0.0156821443014232,0.26666666666666666
AIR,HAIR (HEAD),1,0.36703309416770935,0.0235626851661418,0.2857142857142857
AIR,HAY,0,0.599694013595581,0.0150893625913759,0.42857142857142855
AIR,HEADGEAR,0,0.3471869230270386,0.0210007964395151,0.2857142857142857
AIR,HEEL,0,0.3535437285900116,0.0150395472496413,0.2352941176470588
AIR,HOLE,0,0.4021983444690704,0.0269954152625731,0.3076923076923077
AIR,HORN (ANATOMY),0,0.3282989263534546,0.0237256556262421,0.3076923076923077
AIR,HOT,0,0.3471869230270386,0.0210007964395151,0.2222222222222222
AIR,IRON,0,0.5386634469032288,0.0558054320202344,0.4615384615384616
AIR,KNIFE,4,0.4432220757007599,0.00825348316798866,0.2222222222222222
AIR,LAND,1,0.7947998046875,0.119882603470455,0.15384615384615383
AIR,LIFT,0,0.5237151980400085,0.128485330941702,0.13333333333333333
AIR,LIGHT (COLOR),2,0.4371507465839386,0.121905518192616,0.2222222222222222
AIR,LIGHT (RADIATION),0,0.4371507465839386,0.121905518192616,0.2352941176470588
AIR,LIVESTOCK,0,0.3935292363166809,0.0369445312132694,0.2222222222222222
AIR,MANNER,1,0.6773706674575806,0.0544991692706636,0.18181818181818185
AIR,MATCH,0,0.6821887493133545,0.0413603681984242,0.26666666666666666
AIR,MIRROR,0,0.5415048003196716,0.0273237505695285,0.26666666666666666
AIR,MOLD,1,0.584935188293457,0.01933241504963,0.16666666666666666
AIR,MOUTH,0,0.31164389848709106,0.0913528962140584,0.25
AIR,"NAME",1,0.3660593330860138,0.00924898581455407,0.16666666666666666
AIR,NEEDLE (FOR SEWING),0,0.48824402689933777,0.0102002271538718,0.2857142857142857
AIR,OCEAN,0,0.7152774333953857,0.0919865051540616,0.3636363636363637
AIR,OIL (ORGANIC SUBSTANCE),0,0.5153201222419739,0.0671108117051208,0.375
AIR,ONE,1,0.5132706165313721,0.0127304383707411,0.14285714285714285
AIR,PASTURE,1,0.6736658215522766,0.0180459580522586,0.26666666666666666
AIR,PICK UP,0,0.4630986154079437,0.037263132393703,0.18181818181818185
AIR,PINE,0,0.49784401059150696,0.055037365140028,0.21052631578947367
AIR,PLACE (POSITION),1,0.8442189693450928,0.0377062789660777,0.3333333333333333
AIR,PLASTIC,1,0.5802476406097412,0.0701696289495614,0.5454545454545454
AIR,RAIN (PRECIPITATION),0,0.8346008062362671,0.086954833802519,0.25
AIR,ROLL,0,0.37796473503112793,0.019725044769548,0.18181818181818185
AIR,ROOT,0,0.50708770751953125,0.0349534202977128,0.2857142857142857
AIR,ROUND,0,0.5430402159690857,0.0500668923425238,0.2222222222222222
AIR,SALT,0,0.42554035782814026,0.0292640603614871,0.42857142857142855
AIR,SHADE,0,0.6455986499786377,0.0647817438390719,0.14285714285714285
AIR,SHEEP,0,0.3577944040298462,0.0257559432881864,0.18181818181818185
AIR,SHOE,0,0.2909729778766632,0.0208566181976924,0.2857142857142857
AIR,SKY,10,0.8983875513076782,0.295666699522173,0.7692307692307693
AIR,SMALL,0,0.6220481991767883,0.0150062019490358,0.2222222222222222
AIR,SMOKE (EXHAUST),2,0.6381871700286865,0.247224961621774,0.2
AIR,STEAM,1,0.5754819512367249,0.148694141520349,0.42857142857142855
AIR,STORE,0,0.6186013221740723,0.0133993103930705,0.25
AIR,SUN,1,0.7064005732536316,0.0943415452583313,0.4615384615384616
AIR,THIGH,0,0.4394429922103882,0.0298157396810719,0.26666666666666666
AIR,TIME,0,0.3702253997325897,0.0268321207917948,0.15384615384615383
AIR,TOILET,0,0.40300434827804565,0.0306002976541351,0.26666666666666666
AIR,TONGUE,0,0.3121681213378906,0.0300977220158618,0.3076923076923077
AIR,WALL (OF HOUSE),0,0.775536060333252,0.0138043665943539,0.2857142857142857
AIR,WEATHER,40,0.9274664521217346,0.145538294970133,0.2857142857142857
AIR,WET,0,0.6901876330375671,0.0558713376006432,0.15384615384615383
AIR,WIND,49,0.8852364420890808,0.194912707069489,0.26666666666666666
AIR,WING,0,0.4443717896938324,0.150518155579623,0.3076923076923077
