sentence.ID,status,subject,type
1,active,1,icv1
1,passive,1,icv1
2,active,1,icv1
2,passive,1,icv1
3,active,1,icv1
3,passive,1,icv1
4,active,1,icv1
4,passive,1,icv1
5,active,1,icv1
5,passive,1,icv1
1,active,1,icv1
1,passive,1,icv1
2,active,1,icv1
2,passive,1,icv1
3,active,1,icv1
3,passive,1,icv1
4,active,1,icv1
4,passive,1,icv1
5,active,1,icv1
5,passive,1,icv1
1,active,1,icv1
1,passive,1,icv1
2,active,0,icv1
2,passive,1,icv1
3,active,1,icv1
3,passive,1,icv1
4,active,0,icv1
4,passive,1,icv1
5,active,1,icv1
5,passive,1,icv1
1,active,1,icv1
1,passive,0,icv1
2,active,1,icv1
2,passive,1,icv1
3,active,1,icv1
3,passive,1,icv1
4,active,1,icv1
4,passive,1,icv1
5,active,1,icv1
5,passive,1,icv1
1,active,1,icv1
1,passive,1,icv1
2,active,1,icv1
2,passive,1,icv1
3,active,1,icv1
3,passive,1,icv1
4,active,1,icv1
4,passive,1,icv1
5,active,1,icv1
5,passive,0,icv1
1,active,1,icv1
1,passive,1,icv1
2,active,1,icv1
2,passive,1,icv1
3,active,1,icv1
3,passive,1,icv1
4,active,1,icv1
4,passive,1,icv1
5,active,1,icv1
5,passive,1,icv1
1,active,0,icv1
1,passive,1,icv1
2,active,1,icv1
2,passive,1,icv1
3,active,1,icv1
3,passive,1,icv1
4,active,1,icv1
4,passive,1,icv1
5,active,1,icv1
5,passive,1,icv1
1,active,1,icv1
1,passive,0,icv1
2,active,0,icv1
2,passive,1,icv1
3,active,1,icv1
3,passive,1,icv1
4,active,1,icv1
4,passive,0,icv1
5,active,1,icv1
5,passive,1,icv1
1,active,1,icv1
1,passive,1,icv1
2,active,1,icv1
2,passive,1,icv1
3,active,1,icv1
3,passive,1,icv1
4,active,1,icv1
4,passive,1,icv1
5,active,1,icv1
5,passive,1,icv1
1,active,1,icv1
1,passive,1,icv1
2,active,1,icv1
2,passive,1,icv1
3,active,1,icv1
3,passive,1,icv1
4,active,1,icv1
4,passive,1,icv1
5,active,1,icv1
5,passive,1,icv1
1,active,1,icv1
1,passive,1,icv1
2,active,1,icv1
2,passive,1,icv1
3,active,1,icv1
3,passive,1,icv1
4,active,1,icv1
4,passive,1,icv1
5,active,1,icv1
5,passive,0,icv1
1,active,1,icv1
1,passive,1,icv1
2,active,0,icv1
2,passive,1,icv1
3,active,1,icv1
3,passive,1,icv1
4,active,1,icv1
4,passive,1,icv1
5,active,1,icv1
5,passive,1,icv1
1,active,0,icv2
1,passive,0,icv2
2,active,0,icv2
2,passive,0,icv2
3,active,1,icv2
3,passive,0,icv2
4,active,1,icv2
4,passive,0,icv2
5,active,0,icv2
5,passive,1,icv2
1,active,1,icv2
1,passive,0,icv2
2,active,0,icv2
2,passive,0,icv2
3,active,1,icv2
3,passive,1,icv2
4,active,0,icv2
4,passive,0,icv2
5,active,0,icv2
5,passive,0,icv2
1,active,0,icv2
1,passive,0,icv2
2,active,0,icv2
2,passive,0,icv2
3,active,1,icv2
3,passive,0,icv2
4,active,0,icv2
4,passive,0,icv2
5,active,1,icv2
5,passive,0,icv2
1,active,0,icv2
1,passive,0,icv2
2,active,1,icv2
2,passive,0,icv2
3,active,1,icv2
3,passive,1,icv2
4,active,0,icv2
4,passive,0,icv2
5,active,1,icv2
5,passive,1,icv2
1,active,0,icv2
1,passive,0,icv2
2,active,0,icv2
2,passive,0,icv2
3,active,0,icv2
3,passive,0,icv2
4,active,0,icv2
4,passive,0,icv2
5,active,0,icv2
5,passive,0,icv2
1,active,0,icv2
1,passive,0,icv2
2,active,0,icv2
2,passive,0,icv2
3,active,1,icv2
3,passive,0,icv2
4,active,0,icv2
4,passive,0,icv2
5,active,1,icv2
5,passive,0,icv2
1,active,0,icv2
1,passive,0,icv2
2,active,0,icv2
2,passive,0,icv2
3,active,0,icv2
3,passive,1,icv2
4,active,0,icv2
4,passive,0,icv2
5,active,0,icv2
5,passive,0,icv2
1,active,0,icv2
1,passive,1,icv2
2,active,0,icv2
2,passive,0,icv2
3,active,0,icv2
3,passive,0,icv2
4,active,1,icv2
4,passive,0,icv2
5,active,0,icv2
5,passive,0,icv2
1,active,1,icv2
1,passive,0,icv2
2,active,1,icv2
2,passive,0,icv2
3,active,1,icv2
3,passive,0,icv2
4,active,1,icv2
4,passive,0,icv2
5,active,1,icv2
5,passive,0,icv2
1,active,0,icv2
1,passive,0,icv2
2,active,0,icv2
2,passive,0,icv2
3,active,1,icv2
3,passive,0,icv2
4,active,1,icv2
4,passive,0,icv2
5,active,0,icv2
5,passive,1,icv2
1,active,1,icv2
1,passive,0,icv2
2,active,1,icv2
2,passive,0,icv2
3,active,0,icv2
3,passive,1,icv2
4,active,1,icv2
4,passive,0,icv2
5,active,1,icv2
5,passive,0,icv2
1,active,0,icv2
1,passive,0,icv2
2,active,1,icv2
2,passive,0,icv2
3,active,1,icv2
3,passive,1,icv2
4,active,0,icv2
4,passive,1,icv2
5,active,1,icv2
5,passive,0,icv2
