"","words","counts","len"
"1","_(N.",1,4
"2","_Ave",1,4
"3","_Benedicite,_",1,13
"4","_Brazo",2,6
"5","_Coatl_,",1,8
"6","_Dos",1,4
"7","_equipales_,",1,12
"8","_Huasacoalco_,",1,14
"9","_in",1,3
"10","_libremente_",1,12
"11","_maniobrar_",1,11
"12","_Monte",1,6
"13","_negociación_;",1,14
"14","_Paseos",1,7
"15","_pintos_",1,8
"16","_puros_",2,7
"17","_puros_,",1,8
"18","_Puros_?",1,8
"19","_Qualzalcoatl_,",1,15
"20","_teocali_",1,9
"21","_uno",1,4
"22","_Velasco_",1,9
"23","-",3,1
"24","¡a",1,2
"25","¡A",1,2
"26","¡adelante!",3,10
"27","¡ah!",1,4
"28","¡Ah!",10,4
"29","¡al",1,3
"30","¡alto,",1,6
"31","¡asesinatos",1,11
"32","¡atrás!",2,7
"33","¡atrás!--Fuerte",1,15
"34","¡ay!",1,4
"35","¡Ay!",1,4
"36","¡bah!",3,5
"37","¡Bah!",1,5
"38","¡Bah!no",1,7
"39","¡Bah!quizá",1,10
"40","¡bravo!",1,7
"41","¡Bravo!",1,7
"42","¡caramba!",3,9
"43","¡Cómo,caballero!",1,16
"44","¡con",1,4
"45","¡Con",1,4
"46","¡cuánta",1,7
"47","¡cuánto",1,7
"48","¡de",1,3
"49","¡diablos!",1,9
"50","¡Diablos!",1,9
"51","¡diez",1,5
"52","¡Dios",2,5
"53","¡Diosme",1,7
"54","¡ea!",3,4
"55","¡Ea!",10,4
"56","¡Ea!sosiégate,",1,14
"57","¡el",3,3
"58","¡El",4,3
"59","¡Es",1,3
"60","¡este",1,5
"61","¡hermano!",1,9
"62","¡ja!",2,4
"63","¡Jum!",1,5
"64","¡lo",1,3
"65","¡Los",2,4
"66","¡madre",1,6
"67","¡maldito",3,8
"68","¡Márchese",1,9
"69","¡mátame!--Parece",1,16
"70","¡me",1,3
"71","¡Me",1,3
"72","¡media",1,6
"73","¡Miramón!",1,9
"74","¡Miramón!Los",1,12
"75","¡no",2,3
"76","¡noble",1,6
"77","¡Noestoy",1,8
"78","¡Nunca",1,6
"79","¡Oh",1,3
"80","¡Oh,",1,4
"81","¡oh!",5,4
"82","¡Oh!",4,4
"83","¡otra",1,5
"84","¡Paso",1,5
"85","¡Paso!",1,6
"86","¡Perdidos!",1,10
"87","¡pero",1,5
"88","¡Pobre",1,6
"89","¡pobreDolores!",1,14
