"Marca de temps","Quantes llengües parles? (nivell >B1)","Quina opció et sembla millor?

¨No tinc informació actualitzada en relació _____ la teva sol·licitud, però ho consultaré.""
","Vas néixer a Catalunya?","Quant fas d'alçada (en cms)
P.e.: 172","Entre el castellà i el català, la teva llengua dominant és","Quina opció et sembla millor?
""Això afecta _____ trànsit aeri""","Quants anys tens?"
"2025/03/24 1:16:45 p. m. EET","4","amb","Si","164","castellà","el","21"
"2025/03/24 1:16:52 p. m. EET","Més de 5","amb","Si","175","català","el","28"
"2025/03/24 1:17:18 p. m. EET","3","a","Si","172","català","el","20"
"2025/03/24 1:17:29 p. m. EET","3","a","Si","167","castellà","el","20"
"2025/03/24 1:17:30 p. m. EET","3","amb","Si","157 cm","les dues","el","22"
"2025/03/24 1:17:34 p. m. EET","5","a","Si","160","les dues","al","20"
"2025/03/24 1:17:39 p. m. EET","4","amb","Si","160","català","el","20"
"2025/03/24 1:17:51 p. m. EET","4","a","Si","168","català","el","21"
"2025/03/24 1:17:54 p. m. EET","4","amb","No","157","castellà","el","20"
"2025/03/24 1:17:56 p. m. EET","4","a","Si","162","les dues","el","20"
"2025/03/24 1:18:00 p. m. EET","3","a","Si","159","les dues","el","21"
"2025/03/24 1:18:01 p. m. EET","4","amb","Si","165","","el","21"
"2025/03/24 1:18:01 p. m. EET","4","amb","Si","170","català","el","20"
"2025/03/24 1:18:27 p. m. EET","5","a","No","168","castellà","el","20"
"2025/03/24 1:18:29 p. m. EET","4","a","Si","165","català","al","20"
"2025/03/24 1:18:46 p. m. EET","3","a","Si","165","castellà","el","21"
"2025/03/24 1:18:51 p. m. EET","4","amb","No","165","català","el","20"
"2025/03/24 1:19:02 p. m. EET","3","a","No","176","català","el","20"
"2025/03/24 1:21:13 p. m. EET","3","a","No","161","català","el","20"
"2025/03/24 4:06:10 p. m. EET","4","a","No","160","castellà","el","20"
"2025/03/25 2:52:04 p. m. EET","5","amb","No","160","castellà","el","23"
"2025/03/25 3:09:36 p. m. EET","5","amb","No","160","castellà","el","23"
"2025/03/25 11:58:39 p. m. EET","4","a","Si","160","català","el","20"
"2025/03/26 4:19:58 p. m. EET","4","amb","Si","160","les dues","el","20"
"2025/03/26 9:30:37 p. m. EET","3","amb","Si","158","castellà","al","21"
"2025/03/31 9:16:25 a. m. EET","3","amb","Si","162","castellà","al","21"
