pairnum,IP,trial,display,label
1,67.85.42.18,1,0,zop
1,67.85.42.18,2,3,zopudon
1,67.85.42.18,3,0,zop
1,67.85.42.18,4,0,zopekil
1,67.85.42.18,5,2,zopudon
1,67.85.42.18,6,1,zopekil
1,67.85.42.18,7,1,zop
1,67.85.42.18,8,0,zop
1,67.85.42.18,9,0,zop
1,67.85.42.18,10,0,zop
1,67.85.42.18,11,2,zopudon
1,67.85.42.18,12,1,zop
1,67.85.42.18,13,3,zopudon
1,67.85.42.18,14,3,zopudon
1,67.85.42.18,15,1,zop
1,67.85.42.18,16,1,zop
1,67.85.42.18,17,1,zop
1,67.85.42.18,18,2,zopudon
1,67.85.42.18,19,3,zopudon
1,67.85.42.18,20,0,zop
1,67.85.42.18,21,1,zop
1,67.85.42.18,22,1,zop
1,67.85.42.18,23,1,zop
1,67.85.42.18,24,1,zop
1,67.85.42.18,25,1,zop
1,67.85.42.18,26,0,zop
1,67.85.42.18,27,0,zop
1,67.85.42.18,28,2,zopudon
1,67.85.42.18,29,1,zop
1,67.85.42.18,30,0,zop
1,67.85.42.18,31,0,zop
1,67.85.42.18,32,0,zop
1,162.239.52.23,1,0,zopekil
1,162.239.52.23,2,0,zopekil
1,162.239.52.23,3,1,zop
1,162.239.52.23,4,2,zopudon
1,162.239.52.23,5,2,zopudon
1,162.239.52.23,6,1,zop
1,162.239.52.23,7,0,zop
1,162.239.52.23,8,1,zop
1,162.239.52.23,9,1,zop
1,162.239.52.23,10,3,zopudon
1,162.239.52.23,11,3,zopudon
1,162.239.52.23,12,3,zopudon
1,162.239.52.23,13,0,zop
1,162.239.52.23,14,1,zop
1,162.239.52.23,15,0,zop
1,162.239.52.23,16,1,zop
1,162.239.52.23,17,0,zop
1,162.239.52.23,18,0,zop
1,162.239.52.23,19,1,zop
1,162.239.52.23,20,2,zopudon
1,162.239.52.23,21,0,zop
1,162.239.52.23,22,1,zop
1,162.239.52.23,23,0,zop
1,162.239.52.23,24,1,zop
1,162.239.52.23,25,3,zopudon
1,162.239.52.23,26,1,zop
1,162.239.52.23,27,1,zop
1,162.239.52.23,28,0,zop
1,162.239.52.23,29,0,zop
1,162.239.52.23,30,2,zopudon
1,162.239.52.23,31,0,zop
1,162.239.52.23,32,1,zop
2,24.253.233.194,1,3,zopudon
2,24.253.233.194,2,1,zop
2,24.253.233.194,3,0,zop
2,24.253.233.194,4,0,zopekil
2,24.253.233.194,5,0,zop
2,24.253.233.194,6,0,zop
2,24.253.233.194,7,0,zop
2,24.253.233.194,8,1,zop
2,24.253.233.194,9,0,zop
2,24.253.233.194,10,3,zop
2,24.253.233.194,11,1,zop
2,24.253.233.194,12,1,zop
2,24.253.233.194,13,1,zop
2,24.253.233.194,14,1,zop
2,24.253.233.194,15,3,zopudon
2,24.253.233.194,16,1,zop
2,24.253.233.194,17,2,zopudon
2,24.253.233.194,18,0,zop
2,24.253.233.194,19,1,zop
2,24.253.233.194,20,0,zop
2,24.253.233.194,21,1,zop
2,24.253.233.194,22,1,zop
2,24.253.233.194,23,0,zop
2,24.253.233.194,24,0,zop
2,24.253.233.194,25,3,zopudon
2,24.253.233.194,26,2,zopudon
2,24.253.233.194,27,1,zop
2,24.253.233.194,28,0,zop
2,24.253.233.194,29,2,zopudon
2,24.253.233.194,30,0,zop
2,24.253.233.194,31,2,zopudon
2,24.253.233.194,32,1,zop
2,75.83.166.148,1,0,zopekil
2,75.83.166.148,2,1,zopekil
2,75.83.166.148,3,0,zop
2,75.83.166.148,4,1,zop
2,75.83.166.148,5,2,zopudon
2,75.83.166.148,6,1,zop
2,75.83.166.148,7,1,zop
2,75.83.166.148,8,0,zop
2,75.83.166.148,9,2,zopudon
2,75.83.166.148,10,3,zopudon
2,75.83.166.148,11,1,zop
2,75.83.166.148,12,1,zop
2,75.83.166.148,13,0,zop
2,75.83.166.148,14,0,zop
2,75.83.166.148,15,1,zop
2,75.83.166.148,16,0,zop
2,75.83.166.148,17,0,zop
2,75.83.166.148,18,0,zop
2,75.83.166.148,19,1,zop
2,75.83.166.148,20,0,zop
2,75.83.166.148,21,0,zop
2,75.83.166.148,22,1,zop
2,75.83.166.148,23,1,zop
2,75.83.166.148,24,0,zop
2,75.83.166.148,25,1,zop
2,75.83.166.148,26,3,zopudon
2,75.83.166.148,27,3,zopudon
2,75.83.166.148,28,2,zopudon
2,75.83.166.148,29,0,zop
2,75.83.166.148,30,1,zop
2,75.83.166.148,31,3,zopudon
2,75.83.166.148,32,2,zopudon
3,174.71.79.180,1,0,zop
3,174.71.79.180,2,1,zop
3,174.71.79.180,3,0,zop
3,174.71.79.180,4,2,zopudon
3,174.71.79.180,5,1,zop
3,174.71.79.180,6,1,zop
3,174.71.79.180,7,1,zop
3,174.71.79.180,8,0,zop
3,174.71.79.180,9,0,zop
3,174.71.79.180,10,0,zop
3,174.71.79.180,11,1,zop
3,174.71.79.180,12,2,zopudon
3,174.71.79.180,13,2,zopudon
3,174.71.79.180,14,1,zop
3,174.71.79.180,15,0,zop
3,174.71.79.180,16,1,zop
3,174.71.79.180,17,1,zop
3,174.71.79.180,18,0,zop
3,174.71.79.180,19,0,zop
3,174.71.79.180,20,0,zop
3,174.71.79.180,21,0,zop
3,174.71.79.180,22,1,zop
3,174.71.79.180,23,3,zopudon
3,174.71.79.180,24,3,zopudon
3,174.71.79.180,25,1,zop
3,174.71.79.180,26,0,zop
3,174.71.79.180,27,1,zop
3,174.71.79.180,28,3,zopudon
3,174.71.79.180,29,1,zop
3,174.71.79.180,30,3,zopudon
3,174.71.79.180,31,0,zop
3,174.71.79.180,32,2,zopudon
3,100.2.122.157,1,0,zopekil
