sentence.ID,status,reading.time,type
1,Amb,573.9565354795067,npz
1,Unamb,463.3997655676479,npz
2,Amb,561.4392321553192,npz
2,Unamb,428.40304777437063,npz
3,Amb,550.4564544588532,npz
3,Unamb,461.1936900415829,npz
4,Amb,562.497044375847,npz
4,Unamb,448.7967360165969,npz
5,Amb,602.2873503969373,npz
5,Unamb,466.02841538004736,npz
1,Amb,571.729683139098,npz
1,Unamb,476.93757546269705,npz
2,Amb,611.6230043864656,npz
2,Unamb,430.4704122681835,npz
3,Amb,558.8406441910583,npz
3,Unamb,421.11919160462764,npz
4,Amb,621.5561011301221,npz
4,Unamb,450.8492549956847,npz
5,Amb,578.4177799772032,npz
5,Unamb,483.0796629514665,npz
1,Amb,599.1490128303565,npz
1,Unamb,457.3445121483045,npz
2,Amb,599.5577869675177,npz
2,Unamb,498.68906053776067,npz
3,Amb,574.5255768162701,npz
3,Unamb,431.98687745591025,npz
4,Amb,553.489999088079,npz
4,Unamb,427.66076296148674,npz
5,Amb,587.1854367587563,npz
5,Unamb,450.74398211676026,npz
1,Amb,601.7318735651543,npz
1,Unamb,407.5950929245484,npz
2,Amb,579.5667666135419,npz
2,Unamb,477.8995571192145,npz
3,Amb,605.5466469141664,npz
3,Unamb,446.80193462937285,npz
4,Amb,583.5705990237852,npz
4,Unamb,446.1853313505055,npz
5,Amb,619.2200853550647,npz
5,Unamb,425.2254630340831,npz
1,Amb,605.2353221894138,npz
1,Unamb,459.05536488276584,npz
2,Amb,587.881447073817,npz
2,Unamb,431.6890878605443,npz
3,Amb,599.8842868848596,npz
3,Unamb,445.3390367870932,npz
4,Amb,562.2624811026136,npz
4,Unamb,462.3455089412059,npz
5,Amb,600.0515334097507,npz
5,Unamb,426.90843746937884,npz
1,Amb,612.4992373162102,npz
1,Unamb,423.5677191936528,npz
2,Amb,588.5699730415531,npz
2,Unamb,455.7512038519134,npz
3,Amb,571.5225798834579,npz
3,Unamb,437.29605359729305,npz
4,Amb,571.8676312633545,npz
4,Unamb,489.095158395652,npz
5,Amb,536.8824749104115,npz
5,Unamb,453.60001197915057,npz
1,Amb,580.9486102352282,npz
1,Unamb,460.52748729521284,npz
2,Amb,570.2343865618109,npz
2,Unamb,438.3966430944616,npz
3,Amb,595.9817174236287,npz
3,Unamb,444.72641354125585,npz
4,Amb,566.5960538696154,npz
4,Unamb,450.58772568101614,npz
5,Amb,603.8206570674752,npz
5,Unamb,427.38606429045274,npz
1,Amb,586.2576214416883,npz
1,Unamb,487.1548571742134,npz
2,Amb,579.0408359128859,npz
2,Unamb,465.38387163540966,npz
3,Amb,587.5153300262053,npz
3,Unamb,459.986978458762,npz
4,Amb,573.203645564518,npz
4,Unamb,449.88011310591577,npz
5,Amb,593.7457349423925,npz
5,Unamb,434.1922597677765,npz
1,Amb,576.9603401447482,npz
1,Unamb,460.2768351452684,npz
2,Amb,574.9254652103903,npz
2,Unamb,463.3284206392487,npz
3,Amb,591.3046451793198,npz
3,Unamb,461.22916830177587,npz
4,Amb,559.4827167150187,npz
4,Unamb,437.27155337868425,npz
5,Amb,590.4750801190839,npz
5,Unamb,470.37280546838497,npz
1,Amb,577.24041074430545,npz
1,Unamb,435.6894922006071,npz
2,Amb,562.2087032754309,npz
2,Unamb,414.11300984775653,npz
3,Amb,553.3127136576704,npz
3,Unamb,466.4976752409329,npz
4,Amb,620.6600338677739,npz
4,Unamb,462.35919439553174,npz
5,Amb,594.1771712138411,npz
5,Unamb,487.1086632554428,npz
1,Amb,574.6261943411973,npz
1,Unamb,484.1366726394442,npz
2,Amb,572.1647049907166,npz
2,Unamb,452.356856423922,npz
3,Amb,601.2591636649247,npz
3,Unamb,442.3976087558641,npz
4,Amb,588.4339992390296,npz
4,Unamb,453.0588284052631,npz
