id,dades
u196555,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u196555.csv
u214371,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214371.csv
u214534,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214534.csv
u214541,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214541.csv
u218702,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u218702.csv
u202414,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u202414.csv
u167750,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u167750.csv
u218704,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u218704.csv
u214549,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214549.csv
u214362,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214362.csv
u187581,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u187581.csv
u214942,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214942.csv
u240492,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u240492.csv
u214344,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214344.csv
u214343,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214343.csv
u191238,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u191238.csv
u214374,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214374.csv
u198832,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u198832.csv
u214354,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214354.csv
u214547,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214547.csv
u214544,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214544.csv
u214539,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214539.csv
u199302,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u199302.csv
u214373,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214373.csv
u214368,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214368.csv
u214537,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214537.csv
u214369,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214369.csv
u214542,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214542.csv
u214367,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214367.csv
u214543,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214543.csv
u214364,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214364.csv
u214540,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214540.csv
u214372,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214372.csv
u214363,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214363.csv
u214536,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214536.csv
u214342,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214342.csv
u214360,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214360.csv
u173243,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u173243.csv
u214346,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214346.csv
u214345,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214345.csv
u214357,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214357.csv
u218707,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u218707.csv
u214550,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214550.csv
u214358,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214358.csv
u218706,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u218706.csv
u192949,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u192949.csv
u214370,https://raw.githubusercontent.com/MetodesEmpirics/MetodesEmpirics.github.io/main/material/2025q3/session08/data/csvs/u214370.csv
